word,average
bret,4.89453125
ingrown,4.895133972167969
trout,4.895591609129588
chopstick,4.896381392900867
roger,4.896725901017106
pew,4.896906614303589
affordable,4.896968692495541
gratis,4.8971906278748065
stopper,4.897653579711914
flyer,4.897732974812651
cuttlefish,4.8980712890625
agua,4.898305745785848
mover,4.898904517117851
elk,4.8990164268489735
dog,4.899220457044569
offer,4.899251240103815
sign,4.899282281959843
immigrant,4.89935302734375
intermediate,4.8994140625
creative,4.899891786155498
excel,4.900070999384607
singh,4.900390625
lovingly,4.901024758408312
dew,4.901142956834519
heartbeat,4.901330272943511
screening,4.901440157289471
craze,4.901680156947477
taffy,4.901937484741211
maestro,4.902099609375
duck,4.902152387823583
mag,4.9023218043003
hale,4.902397155761719
berlin,4.902428671717644
formation,4.902706623077393
ko,4.9033203125
decide,4.9041603704495955
talker,4.9041748046875
holistic,4.904277672991157
breakfast,4.904692594645706
heavenly,4.905090328489598
kafta,4.9056396484375
answer,4.9056484389921895
sicilian,4.905669153664718
cooky,4.9057230470714845
sumptuous,4.905853748321533
punctual,4.906005799697422
chef,4.906199386974373
flores,4.90625
paolo,4.90625
dermatology,4.90625
stilt,4.90716552734375
frolic,4.90771484375
sensitive,4.90824003653648
decorator,4.908412843942642
notion,4.9087676518889864
courthouse,4.908866882324219
momo,4.9091796875
guilt,4.909205053186788
authentic,4.909323202198934
happiness,4.909366482283067
beer,4.90958494453681
spot,4.909997722093506
timeless,4.910888671875
delectably,4.9111328125
tenderness,4.911467893382039
monster,4.911543735880084
insert,4.911665001097226
refresh,4.911667969193297
meaty,4.911941601401826
nag,4.912109375
soul,4.912222557775744
flatter,4.912309691309929
brew,4.912319631001323
hormone,4.912416493054479
coaster,4.9124839803239215
mojo,4.912649335494093
trail,4.912696725084568
delightfully,4.912712544112105
executive,4.912715216532556
finishing,4.912905822320681
underlie,4.9130859375
home,4.913327990490831
swift,4.914543684562531
feast,4.914868241899698
pam,4.914965563919395
smore,4.915048599243164
unrealistic,4.915297508239746
cornucopia,4.9154052734375
glossy,4.91562145203352
bouillabaisse,4.91648668050766
geek,4.916857908310984
capitalize,4.917057037353516
enthusiastic,4.917833061718495
transportation,4.917902925930414
wind,4.9189155449672395
peppy,4.919219970703125
canon,4.9193115234375
blown,4.91931911660282
homeowner,4.919544696807861
effortlessly,4.9196624755859375
strategically,4.919772491557524
magnificent,4.919906359150242
kindergarten,4.920135498046875
truth,4.920382214866619
analysis,4.920538425445557
aesthetician,4.9206746546551585
wondrous,4.9208984375
therapist,4.921382128995442
yr,4.921635396587854
suspension,4.9217529296875
